Colectivo,Orgánicos Kg,Orgánicos secos Kg,Total orgánicos Kg,Orgánicos procesados t,Tipo,Tecnica,Primer registro,Último registro,Años registrando,Días trabajados registrados,t orgánicos/mes,t orgánicos/año,Link red social,Alcance personas/colectivo,Horario de trabajo,Link ubicación ,Latitud y longitud,Localidad / municipio,Ciudad,Departamento,Crédito de carbono COP ,Potencial GWP del metano,t metano/t orgánicos,t CO2e/t orgánicos ,Metano evitado t,CO2e evitado t (VERs),COP/créditos de carbono,Metano evitado t/mes,Metano evitado t/año,CO2e evitado t/mes,CO2e evitado t/año,Costo/t en vertedero COP,t residuos/día/ciudad,Capacidad camion t,Viajes camion/día/ciudad,Gestión/día/ciudad COP,Viajes de camion evitados,Ahorro/gestón COP,% producción abono,Abono producido t,Humedad L/t,pH,Conductividad dS/m,% retención de humedad,Cenizas Kg/t,Perdidas por volatización Kg/t,Cap inter catiónico-CIC cmol/kg,Densidad g/cm³,Carbono orgánico Kg/t,Relación Carbono/Nitógeno,Nitrógeno Kg/t
Aagrubachué,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/aagrubachue?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,165,Horario pendiente,https://maps.app.goo.gl/2nz8Pv2NJJuyYfYS7,"4.607362349586158, -74.17764119146942",Bosa,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Agroecologica Muyso,8021,8021,16042,"16,04",Huerta urbana,Paca,6/1/2024,27/6/2026,"2,5",47,"0,54","6,48",https://www.instagram.com/huertaagroecologicamuyso/,3189,"Sábados cada 15 días, 9 a 10 paca y hasta las 12 huerta",https://maps.app.goo.gl/Y9PDWFpu6zou5k1y7,"4.674063916568634, -74.13595541349113",Fontibon,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","1,96","54,75006264",$1.122.376,"0,0658","0,790","1,843","22,121",110351,7500,12,625, $827.632.500,"1,34",$1.770.251,"0,46","7,3","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Bonanza,"4014,67","4014,67","8029,34","8,03",Huerta urbana,Paca,10/2/2023,12/7/2026,"3,4",83,"0,20","2,35",https://www.instagram.com/huertalabonanza?igsh=N2l2djJvMTYycDFx,163,Sábados 10 am a 12 m,https://maps.app.goo.gl/hYV3ux636KoMqjZW7,"4.690782974199473, -74.08937631091521",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,98","27,40349507",$561.772,"0,0238","0,286","0,667","8,008",110351,7500,12,625, $827.632.500,"0,67",$886.046,"0,46","3,7","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Bosque Urbano Canal Boyacá,788,788,1576,"1,58",Bosque urbano,Paca,27/1/2024,19/1/2025,"1,0",11,"0,13","1,61",https://web.facebook.com/CanalBoyaca,1379,Domingos cada 15 de 8 a 10 am,https://maps.app.goo.gl/ahhoD1UcKdYdG2CD6,"4.66338790638521, -74.1198002711638",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,19","5,37876192",$110.265,"0,0164","0,196","0,458","5,501",110351,7500,12,625, $827.632.500,"0,13",$173.913,"0,46","0,7","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Cántaro,0,0,0,"0,00",Emprendimiento,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/cantaro.mercado?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,2862,Horario aleatorio,https://maps.app.goo.gl/vLjndHDZ5YQfiapr9,"4.58379316450477, -74.00540539729259",El Verjón,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Casa Basura Cero,111,111,222,"0,22",Emprendimiento,Paca,11/11/2024,11/11/2024,"0,0",1,"0,00","0,00",https://www.instagram.com/casabasuracero?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,18,lunes a viernes de 9 a 3pm  fds de 10 - 2 pm ,https://maps.app.goo.gl/PX1zkyuRbvBYzdsv9,"4.6621467534092105, -74.00672491534479",San Luis,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,03","0,75766824",$15.532,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,02",$24.498,"0,46","0,1","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
ChiaZuhé,121,121,242,"0,24",Huerta urbana,Paca,6/9/2023,27/4/2024,"0,6",2,"0,03","0,38",https://www.instagram.com/huertachiazuhe?igsh=MzRlODBiNWFlZA==,670,Sábados de 9:30 am a 12 m,https://maps.app.goo.gl/dQ7cZfT4ejzPqLYd6,"4.7060931924219265, -74.1205110697506",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,03","0,82592664",$16.931,"0,0038","0,046","0,107","1,287",110351,7500,12,625, $827.632.500,"0,02",$26.705,"0,46","0,1","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Ciclo vivo,"3,5","3,5",7,"0,01",Emprendimiento,Lombricultivo,30/1/2024,30/1/2024,"0,0",1,"0,00","0,00",https://www.instagram.com/ciclovivo.co?igsh=MWQ2azkxaGNyM2I4bw==,3178,Horario pendiente,https://maps.app.goo.gl/Xp4fuzyuSTJ8XZZL7,"4.618488667034382, -74.0809709153441",Paloquemao,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00","0,02389044",$490,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$772,"0,46","0,0","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Círculo de Xué,250,250,500,"0,50",Huerta urbana,Paca,14/4/2024,28/4/2024,"0,0",3,"0,00","0,00",https://www.instagram.com/huertacirculodexue?igsh=MmtjbWwxMnJrYnhw,1546,Domingos 10 am a 2pm,https://maps.app.goo.gl/bPkgasJxtY43hXtF9,"4.614343661528622, -74.11538948763348",Puente Aranda,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,06","1,70646",$34.982,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,04",$55.176,"0,46","0,2","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Colectivo Cancha Grande,3010,3010,6020,"6,02",Nodo paquero,Paca,21/12/2024,22/6/2026,"1,5",51,"0,33","4,01",https://www.instagram.com/colecanchagrandelaestrella,716,"Martes, Sábado 9:00 am",https://maps.app.goo.gl/MTnqEJGFxvFPZ59G6,"3.4250924852097464, -76.55928717780064",Comuna 20,Cali,Valle del Cauca,$20.500,28,"0,12189","3,41","0,73","20,5457784",$421.188,"0,0407","0,488","1,139","13,672",176868,1800,12,150, $318.362.400,"0,50",$1.064.745,"0,46","2,8","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
